Titre,Texte,Image,Catégorie,Tags,Statut Site,Statut LinkedIn,Texte LinkedIn,Notes
Hello world!,"Bienvenue dans l’univers de Resource Gossip Girl !

Ici, on parle de facilitation, de coaching agile, de collaboration, d‘intelligence collective, de prise de décision collective et de résolution de problèmes en groupe, de Solution Focus, d’Agilité, d’auto-organisation, et d’Holacracy.

Que vous soyez manager, directrice, facilitatrice, coach agile ou conférencière, vous trouverez ici des ressources concrètes et inspirantes pour nourrir votre pratique au quotidien.

Mon objectif ? Vous aider à faciliter des interactions de qualité, qui font avancer les équipes et les projets.

🌟 Bonne exploration, et à très vite dans les coulisses de la facilitation !",business-executives-sticking-sticky-notes.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1767988800000/pc4xabnB9c4BQelcNI6V0g/yCwSWubERruSwb2EyaE2N8Hjotk55VziHUDcOYJAz_B9Dr64ordCilXMbB2p9UdqAwxDfefTJN15zCbOc8W8JdcvsJZ0Dw39hGGz78FG6Oh6N7b98R4mZ8gtSW97qIw0xQ5uJxOlxDAvQ8aCuQrIH6eOPrhAwTKCbikbvlJ096uUiwqaM5yXyZyFIlpGgGWzv8YjBzcch68n5C6uy4EQVw/mKdE24dRa3L-AkF2pvjJy2AUCNle3a2r9dz6Aj61qKQ),,,Publié,Brouillon,,
Comment faire émerger les idées variées,"On l’a toutes vécu.
La cheffe donne son avis… et, comme par magie, tout le monde pense pareil. Étonnant, non ?

Si vous voulez entendre des avis variés, nuancés, créatifs, divergents — bref, tout ce qui rend le travail collectif vraiment riche et stimulant — il existe une technique simple et ultra puissante :

👉 Demandez à chacune d’écrire son avis avant d’écouter celui des autres.

Pourquoi ça change tout ?
Parce que quand une personne d’autorité prend la parole — qu’elle soit cheffe, experte ou simplement très expérimentée —, chacune a déjà eu le temps de clarifier sa propre pensée.

Résultat :
On peut choisir de dire « comme l’autre », mais en conscience.
Et surtout, on peut aussi oser partager un avis différent ou complémentaire, issu de sa propre expérience.

💡 Une petite astuce, un grand pas vers l’intelligence collective.",thinking-woman-holding-notebook-pen.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1767988800000/zYxKfssbfBzAapS_tRmkeg/uI9cxk7_Oz_P9dtCvj62nB0X1Zq4MuypkAO1GYmgjEiIs0bY3Ix8m7qSMnPLBOBCq5FU01C-g8y3j49FQIVd40J9FGPQiuwJnniw4-OfsFSdeEm8SyopQzKDV_zjAYp34JY2izIlaVslFujqnFzdrPHW3zSB9Qd-_PVWxo0YCvnm-c2JxegRoZfnoRPxjJLz/DP-q-URSQBMfGYtUFQb-LK7wLNqgj1j1eLftnGxEJEA),En collectif,"facilitation,astuce,outil,basique,réflexion individuelle,diversité",Publié,Publié,"👩‍💼 “Yes, I think it's a good idea too.”
👨‍💼 “Same here.”
👩‍💼 “Yes, that's what we were saying…”

But does everyone really think the same thing? Or did someone just say what needed to be said to avoid making waves?

👉 When an idea emerges too quickly and the group falls in behind it without discussion, we can miss gems, strategic shifts… or truly weak signals.

In this article, I share a simple reflex to make a variety of ideas possible—especially when the initial speeches have frozen the mood.
Spoiler: it's not enough to say ""Don’t hesitate to share your thoughts.""

hashtag#Facilitation hashtag#CollectiveIntelligence hashtag#PsychologicalSafety hashtag#Leadership hashtag#DiversityOfIdeas",A réintégrer à la Newsletter LinkedIn
"Le Resource Gossip, la rumeur qui soigne","Lors d’un atelier, j’ai proposé un petit jeu aux participants : du commérage bienveillant. Oui, oui — parler dans le dos des autres, mais pour en dire du bien.

En français, on appelle ça comme ça. Et c’est bien plus puissant qu’il n’y paraît.

Une participante m’a confié qu’elle avait dû mentir.
Impossible pour elle de trouver une seule qualité à la personne de son groupe.
Spoiler : elle la critiquait pourtant régulièrement dans les couloirs.

C’est fascinant, non ?
On sait que les potins — même les plus futiles — créent du lien. C’est prouvé.
Mais ce qu’on dit moins, c’est que les potins positifs font mille fois mieux.

💬 Les talents, les petits gestes, les compétences observées (même à l’échelle microscopique), quand ils sont partagés avec précision et sincérité… changent tout.

C’est ce que j’appelle une information laudative.
Et elle a bien plus de poids qu’un simple « elle est sympa ».
➡️ Ce qui compte : être concret, donner un exemple, une scène, une preuve.

Et si tu ne vois « rien de bien » chez quelqu’un ?
Ne triche pas. Ne flatte pas.
Travaille ton regard.

Parce que toute personne a des qualités.
Il faut parfois juste changer l’angle, porter les bonnes lunettes. Tourner la tête. Changer de perspective.

Alors oui, Resource Gossip sonne comme un paradoxe.
Mais non, ce n’est pas une blague.
C’est un oxymore savoureux, à pratiquer sans modération.

💬 À la machine à café.
💬 À la maison.
💬 Dans ton club de sport ou ton covoiturage du lundi matin.

Et surtout…
🪄 En début de workshop, de formation, de séminaire.
Car c’est là qu’il fait des miracles.
👉 Il installe un climat. Calme les tensions. Crée des liens.
Bref, il prépare le terrain pour une vraie collaboration.

Une bonne question pour démarrer ? Qu’est-ce qui t’impressionne le plus chez elle ?

Alors, prête à devenir une gossip girl qui soigne plutôt qu’une gossip girl qui juge ? 😉
Essaye. Tu verras.
C’est addictif. Et diablement efficace.","""ChatGPT Image 29 mars 2025, 17_15_34.png (https://v5.airtableusercontent.com/v3/u/49/49/1767988800000/qxfqlmIqU6XvOYyxk6h2lQ/KafvUX7z0sr47BZ4jLtS46C1HZcqAdrE6EahQWJCHCcKOdDKclL4Wv-ko0aYgQhSdGaodtMNLjiLUVtT6IR5U8-mdcoetNqACtBOOauHVlORxKW9vOUc-0Lxy1MqD4J3kTHxZPY0usRnddxuB08wKDmu7bFTI-gC7LbUy3JujmSR5r8iHH8VpG7aJ7RNNDw9/6sQwd2gp5sfZ2YubZ1arZ7nMfgXkmbwke0CCLc7DgVk)""",La bonne question,"commérage bienveillant,gossip,Resource,Solution Focus",Publié,Publié,"You know all about gossip.

And at work, there's always some—sometimes funny, often awkward, rarely useful.



👉 What if I told you there was gossip... that boosts team cohesion, colleague engagement, and mutual trust?



🧩 In this article, I'll take you where few dare: to the little-known power of benevolent rumors—also known as Resource Gossip.

Those that, when used well, can repair, connect, and reunite.



💡 An unexpected, simple, and incredibly effective facilitation tool.

Try it at your next seminar... or just around the coffee machine.



👇 Click here to discover Resource Gossip, the rumor that heals",
Comment réussir les projets ambitieux ?,"Vous savez ce que j’adore dans les débuts de projet ? Ce moment où tout le monde est frais, dispos, et prêt à conquérir le monde avec son Trello flambant neuf. Le kick-off workshop ? Une merveille. On rit, on post-it, on se donne des rôles comme dans un bal masqué. À la fin de la journée, tout le monde a l’air de savoir exactement ce qu’il doit faire.

Mais voilà le twist que personne ne vous dit…
Ce n’est pas ce moment euphorique qui décide si le projet tiendra trois mois ou trois ans.
La vraie différence ? ✨ Le rythme. Le cadencement. Cette petite musique en arrière-plan qui empêche les gens d’oublier qu’ils sont embarqués dans quelque chose de plus grand qu’eux.

Et tenez-vous bien : ce n’est même pas forcément la cheffe de projet qui détient la clé.
Non non. Parfois, c’est juste la bonne personne, celle qu’on ne remarque pas toujours mais qui, comme par magie, organise les rendez-vous qui comptent. Les points d’étape. Les cercles de synchronisation. Les petits moments qui gardent l’élan vivant.

🕰️ Mon sweet spot ? Toutes les 3 semaines, une réunion ciblée en petit comité, thème clair, café chaud.
Et toutes les 8 semaines, la big réunion avec tout le monde, les updates, les rituels, et un petit frisson d’appartenance.
Pas plus, pas moins. Juste assez pour garder le cœur battant.

Alors la prochaine fois que tu vois un projet s’essouffler, ne blâme pas les outils ou les deadlines. Demande-toi : où est le tempo ?
Et surtout… qui le tient ?","""ChatGPT Image 3 avr. 2025, 12_21_27.png (https://v5.airtableusercontent.com/v3/u/49/49/1767988800000/KFs9KJC_wXSde4Do6UddsA/_kdKcve9xTfMN8X2vgb5DyUO7cymV71t-aa_lP1VFg9jFIksjG97sBofw1LgfRPnI-d1jxCqR_0M1Ynb0DpQGyGosAwfI2mpjDMPSYkLtC1-wF95LpnYOXn5HnMhcmXfjHL2d8vsSc-OTAZKvQfzUq1dprxie0a73W_FPTzwvVXJXOoKqs6U1aMAoSFveKaa/q5XGWmWr9cg4SVB99E81MqdNz1x4Z6i35aLSUz6Ad5I)""",Pouvoir sans pouvoir,"cadencement,kick-off,leadership,synchronisation,workshop",Publié,Publié,"Starting is already great. Lasting is the real challenge.
New project. Fresh energy. Big plans.
Everything feels possible.
And then...
Weeks pass.
Things slow down.
The buzz fades.
We move on.
Where does the spark go?
👇 Find out how to keep it alive:",
Comment s’assurer que c'est utile ?,"C’est souvent le moment où tout semble bien se passer. Les post-its volent, les idées fusent, les participants sont en petits groupes en train de phosphorer… Et pourtant on peut légitimement s'interroger.

Est-ce qu’on avance vraiment ?
Est-ce qu’on travaille sur le bon sujet ?
Est-ce que ce workshop va vraiment déboucher sur quelque chose d’utile ?

Quand on débute en facilitation, on met toute son énergie à faire produire les participantes, à les faire travailler ""sur le fond"". C’est noble. Mais parfois, à trop vouloir aller vite vers l’objectif, on oublie de vérifier si on est encore en train de viser juste.

Dans un projet, on planifie des rétrospectives.

Cette approche est fractale : on peut – et on doit – faire un pas de côté en plein milieu du workshop, pour vérifier qu’on est sur la bonne route.
Il permet non seulement de réaligner l’équipe, mais aussi de redonner du focus aux participantes qui papillonnent ou s’épuisent.

💡 En pratique, comment faire ?

On bloque un petit temps à la moitié de l’atelier, de préférence autour d’une pause.
Et on pose deux questions magiques :

Qu’est-ce qui est déjà plus clair depuis le début du workshop ?

Qu’est-ce qu’il faudrait encore clarifier pour que ce workshop atteigne vos meilleurs espoirs ?

💬 Les réponses orientent la suite, recentrent l’énergie, renforcent le sentiment de progression. Et parfois, elles ouvrent des pistes inattendues mais décisives.

Et si des participantes doivent partir avant la fin, elles ont pris conscience qu'elles ont déjà bénéficié des premières clarifications.

Tu facilites un atelier cette semaine ? Ou tu animes une simple réunion ?
Teste ces deux questions.
Et observe ce qui se passe.

👀 Tu pourrais être surprise.","""ChatGPT Image 14 avr. 2025, 16_32_56.png (https://v5.airtableusercontent.com/v3/u/49/49/1767988800000/vyJBKXyFZXcda6d71JbayA/DxsKj1xYYeWPKjSgxDqw7Mh_tBmmWuV7utB0w3XXNcYbSL5wud4XY2yLNQiPsHWANwpPCR3APkwcH6n7h5jB_vG8ne7e1xHnIUxrFVQhx0iFuc9iH6j_rwQuTnEZcxfXzsr1QZC5sYCxK6X27vPvDUKpST-YpFIBEndoFFJA98_Quy3NdDrfhMaFAveDiI-n/ay63F4omdaggIyaOmDAgYb8G8duAEi4kK2wrHKbZXUI)""","En collectif,La bonne question","clarifier,facilitation,focaliser,ralentir,recul,workshop",Publié,Brouillon,,
Comment réussir un atelier en 5′,"Il y a un moment clé dans chaque workshop.
Un détail que personne ne remarque… et qui change tout.

Quand je le prends en compte, l’atelier trouve sa direction, naturellement.
Quand je l’oublie, on avance à tâtons, en espérant tomber sur quelque chose de bon.

Et pourtant, ce n’est rien d’extraordinaire.
Cinq minutes. Une seule question.

💬 « Quel est votre meilleur espoir pour cet atelier ? »

C’est tout. Et c’est essentiel.

Comme quand on prend le métro new-yorkais : vérifier la direction prend deux secondes.
Mais sans ce réflexe, on peut filer vers le Bronx… en pensant aller à Brooklyn.

C’est exactement ce qui se joue en début d’atelier.
On prend un instant pour s’assurer que tout le monde est dans la bonne direction.
On clarifie ce qu’on vient chercher.
Et rien que ça, ça change la trajectoire de tout ce qui va suivre.

Parce qu’un groupe qui sait où il veut aller…
est déjà à mi-chemin d’y parvenir.

Et ça, croyez-moi, c’est le genre de secret qu’on ne partage qu’entre initiés.","""15 avr. 2025, 15_00_57.png (https://v5.airtableusercontent.com/v3/u/49/49/1767988800000/rwLj-XE1NKreHddodVGlnA/SyqhwYttYsEkmVmwRp3VCg-SdXBwQVMGpAE6uqP8VVpfY2qQ9kaDjFO4YLMorwTUihS4GKPl399Wrjvj9-kJCX58wgA8h_Kf0IlqUKIxFbPjnQlqgNTfXHnVMIW4HIk-SMIsLaRgm2M9Auv7yRGysIYVOtdMoanLiSJ7XHjRcEU/DcLRWGUMFO7wLeUGwR61qUIzjq_lQu9Cv2lYcsD04w4)""",La bonne question,"embarquement,kick-off, meilleur espoir,question,Solution Focus,workshop",Publié,Brouillon,,
Comment donner envie de venir,"Il y a des invitations qui donnent instantanément envie de répondre « compte sur moi », et d’autres… qui ressemblent à une convocation RH, tout droit sortie d’un épisode de The Office.

Mais soyons honnêtes.
Quand vous invitez à un atelier, est-ce une véritable invitation… ou une assignation à comparaître ?

Dans mon métier, j’en ai vu passer des centaines. Et souvent, ce petit message qui devrait ouvrir la danse est expédié comme une formalité.
Pourtant, tout commence là. Avant les post-its. Avant les questions puissantes. Avant même les viennoiseries — ou les donuts, si vous êtes du côté de Manhattan.

✨ Une bonne invitation, c’est un acte de leadership délicat.
C’est offrir à l’autre une raison de dire oui avec envie, pas par devoir.

Et pour ça, il existe un template qui change tout.

Je l’ai reçu de Géry Derbier et Laurent Sarrazin, eux-mêmes inspirés par Helen Bailey et Mark McKergow dans leurs travaux sur le Host Leadership. Depuis, je ne m’en passe plus — en pro comme en perso.
Et croyez-moi, cette formule fait des merveilles.

💌 Voici la recette :

1. Commencez par partager ce que vous appréciez chez la personne que vous invitez, ce qui vous a donné envie de l'inviter.
Une qualité, une compétence, une posture… C’est aussi une manière de dire : « J’aimerais que tu sois cette version de toi pendant l’atelier. »

2. Montrez-lui ce qu’elle pourrait retirer de ce moment.

3. Laissez-la libre d’accepter… ou pas.
Et vraiment libre. Sans pression, sans justification. Le choix, c’est le début de l’engagement.

Quand vous invitez comme ça, vous ne faites pas que remplir une salle.
Vous honorez une personne.
Vous posez le décor d’un espace où elle aura de la place, dès le premier mot.
Et souvent, elle vient.
Avec l’élan juste.

🎀 Et vous savez ce qu’on dit sur l’Upper East Side :
une belle invitation, c’est déjà le début de la fête.","""ChatGPT Image 16 avr. 2025, 16_39_19.png (https://v5.airtableusercontent.com/v3/u/49/49/1767988800000/jXToX06omqLWaavc9p2wJA/9qQYETyN7Ehw0Te0xjDn-pZZb0j5dQVHPNOzWLriPDV-_5059omU9_CrSevPf2_GlPyxSk_oF-vASk0Kl5diSvzK90avUVr2RbHOHfpSvvw3rzTfoE3XW13eqOeaOYofBjZ2WoJ1a4i3I_81M94aM3ATmkTiURnUXCSD7OAWFLy6CCxAFcB0ChAcP_joCfhH/wWy--cyLZ98w72a4nlfdsiATTh5DyrCG7-XcieoXehA)""",Pouvoir sans pouvoir,"hostleadership,invitation,kick-off,leadership,outil,Resource,Solution Focus,template,workshop",Publié,Brouillon,,
Comment inclure ta présentation PowerPoint,"Il y a toujours ce moment, en amont d’un séminaire, où une leader dit :
“J’aimerais commencer par une présentation. Enfin… quelques-unes.”

Et là, je sais déjà ce qui va suivre.
Une série de slides. Une prise de parole solo. Des participantes qui scrollent.

Pourquoi tant d’amour pour les présentations ?
Parce qu’elles donnent une illusion de maîtrise. Elles offrent à la leader un micro, une scène, un moment où le message est martelé.

Mais du côté des participantes ?
Elles traversent la ville, bloquent 6 heures dans leur agenda, s’installent dans une salle…
Et tout ça, pour regarder quelqu’un lire des slides ?
Honnêtement, ce moment-là pourrait être un email. Ou une vidéo. Ou mieux : une idée en l’air.

Ce qu’on oublie, c’est que rassembler des personnes dans un même lieu, c’est un luxe.
Et que ce luxe mérite mieux qu’un one-woman-show.
C’est un moment pour faire émerger les idées, les questions, les ressources, les envies d’agir. Pas pour geler l’attention dans une salle à 19°C.

Alors, si vraiment vous devez partager des infos en atelier :
✅ Faites-le en 18 minutes max.
Pourquoi 18 ? Parce que c’est la limite fixée par les TEDTalks. Et ils savent deux-trois trucs sur l’attention.
✅ Ensuite, ouvrez. Posez une question. Organisez un échange. Faites-les parler.

Vous découvrirez vite que les participantes en savent bien plus que vous ne l’imaginiez.
Et que leurs vraies questions valent toutes les réponses prémâchées du monde.","""ChatGPT Image 17 avr. 2025, 15_57_52.png (https://v5.airtableusercontent.com/v3/u/49/49/1767988800000/vRjg11G8Bn1FPubIElVWJw/8K3oukBItZ2xwCaseThqJnHchNrVvILdWXSpcQ0opnqoZlUsCvlZuosqPhTHiEy3CIrT5co9zXp3v9iQoOta4hZAbptik-DlcyG2_ddF-55a_7JqzGo8iLHXmZHADh7X5vCEIfoEntCgynnB-rIXvJIM9YfQ5Cmtl1IQojRUovFWenz7ypfPfGNgAtUi0ouT/Yvu-o1tJCkNFTgMXeQoZEjMy8wGxJqJxYI_YyAAUePc)""",En collectif,"facilitation,leadership,powerpoint,presentation,seminaire,tedinspo,workshop,workshopdesign",Publié,Brouillon,,
Comment muscler ta question de vision,"Quand on anime un exercice de vision, qu’on accompagne une équipe en conflit ou qu’on lance un nouveau projet, on commence souvent par une question orientée vers le futur désirable. Par exemple : Quel est votre rêve ?

C’est une belle entrée en matière. Mais soyons honnêtes : c’est un peu comme un feu d’artifice en plein jour. Oui, ça explose, mais on ne voit pas grand-chose.

J’ai vu cette question posée mille fois avec les meilleures intentions. Je vais vous le dire clairement : elle n’est pas suffisante.

Ce qui transforme un rêve en levier d’action, c’est son impact.

Posez plutôt des questions comme :

À quoi verrez-vous que l’entreprise est au top ?
Quelle différence ça fera que votre équipe soit réconciliée ?
Qui bénéficiera de la réussite de ce projet et comment ?
Quand on formule la question de cette manière, quelque chose change dans la salle. Les gens arrêtent de rêver tout seuls dans leur coin. Ils commencent à construire quelque chose, ensemble.

Parce qu’on ne facilite pas pour que ça reste joli dans un carnet. On facilite pour que ça change quelque chose dans le réel.

Un tout petit effort de formulation. Une toute petite différence dans la posture. Mais un effet énorme.

Et toi, facilitrice au cœur tendre, vas-tu encore vendre du rêve… ou créer du réel observable ?","""ChatGPT Image 18 avr. 2025, 14_48_38.png (https://v5.airtableusercontent.com/v3/u/49/49/1767988800000/O_rvWGFJr3SE9_SVRv9OAg/9d8qQqZmCowTEa6PvCZr0jxN0dyPqYvzW-JTiR0ehPHnKOYVJDJz-z2ry9rkTD9K1s_92K_Q_MOy9aMTR-ZJABiRL935ijXG_25buI5osBsfB1NidlEMluAs5Fw_BWP-ENKOAIwlFY6Q78KD3ViW5IfWYp9u2heeKoloma98WjtTcYcLoRFg3nbzhSTkOSpo/tdPylX0iU1k7OwFHBoOphATjvUM67h_o9xHpPQrQtxA)""",La bonne question,"futur désiré,question puissante,Solution Focus,vision,workshop",Publié,Brouillon,,
